,Product titer (g/L)
2279,0.14657
2010,0.0
268,1.9
1439,2.0
137,0.797
1918,5.6006
881,14.5
1458,4.0
3730,17.7
264,3.02
1684,1.3
2933,3.4
841,1.19
4069,8.0
4398,2.1
4296,2.0
2479,0.01465
1213,0.00195
800,8.9
607,0.8928
3125,0.5
388,2.5
1072,4.6
3634,0.0
2204,0.0166
1774,0.00015
3139,10.7
3257,1.6
4512,1.16
3469,14.07
23,0.5
85,5.8
4239,0.18
3115,0.26580000000000004
798,6.9
1806,13.0
3108,20.2
793,9.7
872,2.22
4143,9.0
4474,26.78
1019,17.5
648,5.75
2651,0.0247
337,1.72
3088,1.26
2041,0.00519
1200,0.00125
803,3.3
3366,11.8
4274,0.9
1840,0.107
1117,0.0571
4553,1.4454
1854,0.04933
3046,0.13
2696,0.0
1228,0.001
4332,13.2
3785,3.6
3154,4.64
1231,0.0035
4189,0.41
774,8.0
785,8.8
3435,8.0
3441,1.93
4308,2.3
3961,14.7
1890,0.062
3107,0.2
131,0.06
1841,0.073
4156,50.0
2483,0.0
1761,0.0002
578,0.078
3900,64.16
2591,0.2751
430,1.75
1257,0.05
2529,2.65
344,2.35
4396,0.25
3255,0.9059
2786,9.6
1956,0.1317
1695,1.47
1240,0.042
853,5.88
4459,9.0
1339,0.05351
3936,1.35
927,9.98
4596,1.9
2851,17.9
3277,0.082
4418,0.39812
3073,3.5
1715,0.125
2036,8.32
4103,0.00107
750,5.0
2556,0.00217
2337,0.01198
2405,0.0
3852,1.7
3791,3.8
4185,49.6
474,0.38
2943,4.0
4310,2.0
4445,9.5
4481,39.29
1119,0.0493
2277,1.03846
3654,0.10869
998,2.9
2889,0.3456
1318,0.0042
2458,0.04746
4501,11.3
3915,3.2
2902,0.0823
66,40.0
75,1.9
584,0.312
1712,0.0158
570,0.0
3650,0.1986
4454,1.7
1647,0.192
1843,0.1
138,0.63
886,0.0
3829,3.88
4306,4.7
3477,4.07
2895,4.5
3878,16.37
3316,0.496
2276,0.20415
4012,0.207242
1797,0.00235
4344,2.3
470,0.35
80,36.8
3962,37.7
2367,0.02791
2459,0.09681
3376,105.93
3498,0.16
4468,9.6
593,1.1
3576,2.73
2110,0.02139
4098,1.6
2071,0.0046
56,0.45436
1694,0.0
3361,0.842
4585,0.06688
462,1.15
1262,0.045
522,0.5
4222,13.88
3026,1.47
3847,2.0
588,0.0072
2298,0.01974
2854,5.7
4388,2.65
36,0.0184
411,1.65
655,6.0
2437,0.0647
352,1.75
4449,2.7
1281,0.177
3220,1.79
2213,0.33073
2868,15.1
4371,8.09
3841,10.38
4681,2.4
1069,4.0
2107,0.062
4668,0.00148
482,0.0
2475,0.09909
3124,3.1
1356,0.3148
1522,38.5
415,2.9
3022,1.42
3935,4.5
3691,49.2
1041,0.9
4576,0.4601
1011,8.2
155,0.075
3990,28.9
2515,1.55
2119,0.0
2081,0.00067
2063,0.0053
1983,6.5e-05
748,2.3
398,2.0
2546,0.0004
3928,5.0
2402,0.007
2464,0.09609
165,0.075
125,0.018
3482,5.0
1584,20.0
1954,0.098
2820,36.7
3149,2.3
971,0.0176
2022,3.85
2761,4.3
860,4.95
508,22.5
2031,6.53
4208,29.53
4521,2.46
454,0.94
2557,0.00327
3995,10.5
3298,0.076
1776,0.00091
2347,0.03931
3282,0.032
248,2.3
1218,0.0
3169,0.1303
1148,28.5
1477,7.8
1878,0.08
1063,3.7
1524,36.5
1479,3.8
2255,0.18655
33,13.7
3706,15.5
1991,0.078
4656,0.0052
3701,50.9
4627,0.09479
939,14.96
1223,0.002
1686,0.0
3799,1.3
513,5.5
471,0.325
652,5.7
2020,0.0
3779,0.6
1274,0.047
1256,0.12
601,0.0
1591,25.8
562,10.5
3144,27.7
373,2.1
1469,54.6
1077,8.2
129,0.031
3471,4.29
4241,0.21
1106,0.0407
1143,0.00145
2926,7.0
896,7.0
18,3.6
189,0.0601
4554,2.19
1078,7.8
3113,0.085
3694,53.9
2305,0.01183
2593,0.23
598,1.54
4033,5.03
4292,11.9
1650,0.22
2129,0.00475
1789,0.0022
2427,0.05491
175,0.05717
2180,0.00195
1992,0.0
1566,0.453
969,0.03861
4431,0.00162
1230,0.0005
4574,0.3135
857,4.47
2628,0.0459
2699,3.8
594,2.1
3285,0.375
413,1.5
3052,0.002
2602,9.8
95,0.73
3182,4.5
3023,1.74
3745,17.4
687,6.0
1102,0.0306
3508,3.3
2006,7.4
4593,1.6
910,27.5
1881,0.06
2151,0.00188
1413,0.9
4533,2.6
4626,0.06266
707,1.9
59,0.4
3036,0.0036
4242,0.57
3069,0.38
1903,0.0447
528,9.9
1004,3.9
914,5.4
4139,4.0
4465,9.3
3738,18.1
686,10.3
3420,14.66
778,6.9
1861,0.036008
617,0.0
1286,0.135
3063,0.06064
1412,4.9
1312,0.0008
4083,62.5
176,0.06117
1627,1.05
54,0.027
3940,1.09
1548,3.7
3605,1.3
1405,4.46
4452,0.5
2566,0.04054
2738,64.9
4260,0.235
3581,1.92
947,2.0
4110,0.00918
1590,26.0
4240,0.34
4677,0.0533
2603,15.0
417,1.8
1090,0.1102
3436,65.5
3208,2.76
3832,0.0
4042,93.0
35,35.1
4422,0.34843
159,0.045
2092,0.0046
7,17.8
2184,0.0
3234,0.69
4298,2.2
902,17.03
3612,7.4
4022,3.39
2294,0.01327
2667,5.0
701,3.2
2002,5.24
64,31.0
4082,21.6
2640,0.3
2659,96.0
1697,1.3
2042,0.00405
2457,0.07254
2872,15.3
2235,0.01477
2865,6.6
510,50.5
4162,6.0
3817,1.05
1801,0.0025
2017,7.9
2751,68.2
4404,2.42622
937,39.29
2521,1.62
1925,2.6467
1544,14.8
478,1.18
2182,0.0104
3041,0.0542
1836,0.105
3293,0.086
2698,2.2
4062,6.3
1473,7.5
4611,15.42
1073,12.0
1435,6.8
3607,5.4
1574,20.5
3462,35.78
2867,12.9
1419,6.39
4558,0.609
1193,0.00019
751,15.4
197,0.12894
1024,6.9
3117,0.409
1303,0.89
2976,1.41230769230769
1079,12.1
3720,15.8
