,Species,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes
29,2.0,44.0,100.0,2805.0,16.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,3.0,25.0,6.5,3.0,0.0,0.0,0.0,0.0
283,2.0,2.0,90.9,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,22.0,12.0,22.0459142394822,44.0918284789644,4.0,0.0,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
191,2.0,1.0,70.0,2805.0,15.58,3.0,13.85,1988.0,10.35,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,264.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,8.0,4.9,1.0,0.0,0.0,0.0,0.0
25,2.0,44.0,100.0,2805.0,16.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,3.0,25.0,6.0,3.0,0.0,0.0,0.0,0.0
216,2.0,7.0,40.0,2342.2,16.0,2.0,12.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,30.0,6.3,1.0,0.0,0.0,0.0,0.0
340,2.0,1.0,10.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,48.0,13.0,24.0,20.0,1.0,0.0,0.0,30.0,5.5,2.0,0.0,0.0,0.0,0.0
322,2.0,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,48.0,13.0,24.0,20.0,1.0,0.0,0.0,30.0,5.5,2.0,0.0,0.0,0.0,0.0
28,2.0,44.0,100.0,2805.0,16.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,3.0,20.0,6.5,3.0,0.0,0.0,0.0,0.0
242,2.0,2.5,200.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,4.0,0.0,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
369,2.0,1.0,19.92,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,168.0,16.0,24.0,28.0,1.0,0.1,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
226,2.0,7.0,50.0,2342.2,16.0,2.0,12.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,4.0,0.0,0.0,30.0,6.3,1.0,0.0,0.0,0.0,0.0
223,2.0,7.0,40.0,2342.2,16.0,2.0,12.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,30.0,6.3,1.0,0.0,0.0,0.0,0.0
120,2.0,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
167,2.0,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,1.0,0.1,0.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
158,2.0,1.0,54.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,1.0,0.1,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
96,2.0,1.0,70.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,217.0,12.0,22.0459142394822,44.0918284789644,1.0,0.025,0.0,30.0,5.3,1.0,0.0,0.0,0.0,0.0
89,2.0,1.0,35.3,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,4.0,1.6,0.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0
356,2.0,2.0,40.0,1660.45,18.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,288.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
287,2.0,2.0,500.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,72.0,12.0,22.0459142394822,44.0918284789644,4.0,0.0,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
349,2.0,1.0,90.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,192.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,26.0,6.0,2.0,0.0,0.0,0.0,0.0
266,2.0,2.0,23.0,1660.45,18.0,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,288.0,2.0,2.0,0.0,1.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
184,2.0,1.0,29.4,2805.0,15.58,3.0,21.1,1988.0,10.35,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,24.0,12.0,22.0459142394822,44.0918284789644,5.0,0.0,0.0,30.0,7.4,1.0,0.0,0.0,0.0,0.0
22,2.0,44.0,150.0,2805.0,16.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,3.0,25.0,6.0,3.0,0.0,0.0,0.0,0.0
150,2.0,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,48.0,12.0,22.0459142394822,44.0918284789644,1.0,0.3,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
408,2.0,1.0,19.92,2805.0,15.58,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,1.0,0.1,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
51,2.0,44.0,50.0,2805.0,16.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,72.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
193,2.0,1.0,70.0,2805.0,15.58,3.0,13.85,1988.0,10.35,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,264.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,15.0,4.9,1.0,0.0,0.0,0.0,0.0
262,2.0,2.0,69.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,60.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
91,2.0,1.0,70.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,13.0,12.0,22.0459142394822,44.0918284789644,1.0,2.0,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
357,2.0,1.0,40.0,2805.0,15.58,1.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,168.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,35.0,3.77,2.0,0.0,0.0,0.0,0.0
334,2.0,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,5.0,0.0,0.0,30.0,5.6,2.0,0.0,0.0,0.0,0.0
383,2.0,1.0,19.92,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,168.0,16.0,24.0,28.0,1.0,0.1,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
164,2.0,1.0,30.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,1.0,0.1,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
195,2.0,1.0,70.0,2805.0,15.58,3.0,13.85,1988.0,10.35,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,264.0,12.0,22.0459142394822,44.0918284789644,4.0,0.0,0.0,15.0,4.9,1.0,0.0,0.0,0.0,0.0
323,2.0,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,48.0,13.0,24.0,20.0,5.0,0.0,0.0,30.0,5.5,2.0,0.0,0.0,0.0,0.0
106,2.0,1.0,70.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,28.0,12.0,22.0459142394822,44.0918284789644,1.0,0.045,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
109,2.0,1.0,35.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,28.0,12.0,22.0459142394822,44.0918284789644,1.0,0.045,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
321,2.0,4.0,120.0,874.0,14.55,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
285,2.0,2.0,500.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,142.0,12.0,22.0459142394822,44.0918284789644,4.0,0.0,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
275,2.0,16.0,48.2,2792.0,15.5,14.0,30.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,120.0,2.0,2.0,0.0,1.0,0.0,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
95,2.0,1.0,70.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,192.0,12.0,22.0459142394822,44.0918284789644,1.0,0.025,0.0,30.0,5.3,1.0,0.0,0.0,0.0,0.0
292,2.0,2.0,48.8,1660.45,18.0,3.0,23.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,325.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
152,2.0,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,96.0,12.0,22.0459142394822,44.0918284789644,1.0,0.3,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
182,2.0,1.0,29.4,2805.0,15.58,3.0,52.0,1988.0,10.35,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,5.0,0.0,0.0,30.0,7.4,1.0,0.0,0.0,0.0,0.0
210,2.0,7.0,40.0,2342.2,16.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,113.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,30.0,4.0,1.0,0.0,0.0,0.0,0.0
113,2.0,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,72.0,12.0,22.0459142394822,44.0918284789644,1.0,0.2,0.0,30.0,4.5,1.0,0.0,0.0,0.0,0.0
220,2.0,7.0,40.0,2342.2,16.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,340.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
387,2.0,1.0,19.92,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,168.0,16.0,24.0,28.0,1.0,0.1,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
90,2.0,1.0,70.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,13.0,12.0,22.0459142394822,44.0918284789644,1.0,2.0,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
312,2.0,2.0,0.0,1660.45,18.0,1.0,60.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,142.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
121,2.0,1.0,54.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
382,2.0,1.0,19.92,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,168.0,16.0,24.0,28.0,1.0,0.1,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
343,2.0,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,96.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,30.0,5.2,2.0,0.0,0.0,0.0,0.0
154,2.0,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,1.0,0.3,0.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
44,2.0,44.0,41.6,2805.0,16.0,2.0,70.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,120.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
159,2.0,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,1.0,0.1,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
103,2.0,1.0,70.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,28.0,12.0,22.0459142394822,44.0918284789644,1.0,0.045,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
169,2.0,1.0,27.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,1.0,0.1,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
407,2.0,1.0,19.92,2805.0,15.58,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,1.0,0.1,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
214,2.0,7.0,40.0,2342.2,16.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,313.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,30.0,5.3,1.0,0.0,0.0,0.0,0.0
325,2.0,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,48.0,13.0,24.0,20.0,5.0,0.0,0.0,30.0,5.5,2.0,0.0,0.0,0.0,0.0
400,2.0,1.0,19.92,2805.0,15.58,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,1.0,0.1,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
251,2.0,2.5,160.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,195.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,28.0,6.0,2.0,0.0,0.0,0.0,0.0
177,2.0,1.0,29.4,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,5.0,0.05,0.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0
68,2.0,44.0,150.0,2805.0,16.0,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,72.0,12.0,22.0459142394822,44.0918284789644,4.0,0.05,3.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0
344,2.0,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,168.0,12.0,22.0459142394822,44.0918284789644,1.0,0.0,0.0,26.0,6.0,2.0,0.0,0.0,0.0,0.0
328,2.0,4.0,60.0,874.0,14.55,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,96.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
99,2.0,1.0,70.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,28.0,12.0,22.0459142394822,44.0918284789644,1.0,0.045,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
123,2.0,1.0,54.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,144.0,12.0,22.0459142394822,44.0918284789644,1.0,0.05,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
3,2.0,44.0,9.6,2805.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,18.0,1.0,154.0,120.0,0.0,0.0,0.0,4.0,1.8,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
179,2.0,1.0,29.4,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.232941176471,17.6235294117647,33.7686274509804,2.0,869.752941176471,147.0,12.0,22.0459142394822,44.0918284789644,5.0,0.05,0.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0
31,2.0,1.0,0.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,96.0,13.0,24.0,20.0,1.0,0.0,0.0,30.0,4.38,2.0,0.0,0.0,0.0,0.0
272,2.0,16.0,100.0,2792.0,15.5,14.0,30.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,120.0,2.0,2.0,0.0,1.0,0.0,0.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
