,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes
2934,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-218.252100840336,17.5798319327731,33.03081232493,2.0,275.988795518207,144.0,7.0,7.78991596638655,15.5798319327731,1.0,0.05,1.0,30.0,6.8,3.0,6.0,6.0,1.0,0.0
1489,2.0,30.6,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,40.0,12.0,23.4,46.9,5.0,0.0008,1.0,28.0,6.8,1.0,4.0,3.0,1.0,1.0
308,1.0,19.9,2805.0,15.58,8.0,20.0,2810.4,16.0,3.0,1425.2,15.0,24.0,0.0,204.0,120.0,10.0,9.0,6.0,2.0,1.0,2.0,30.0,7.0,1.0,3.0,0.0,3.0,1.0
2795,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-366.5,4.0,10.0,4.0,122.0,72.0,2.0,0.0,-1.0,1.0,0.05,2.0,28.0,4.3,1.0,0.0,0.0,0.0,0.0
266,8.0,100.0,2810.4,16.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,120.0,12.0,23.4,46.9,1.0,0.05,1.0,28.0,6.8,1.0,0.0,0.0,1.0,0.0
1576,2.0,50.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,168.0,0.0,0.0,0.0,1.0,0.01,3.0,30.0,6.0,3.0,0.0,1.0,0.0,0.0
1408,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,1.0,0.05,2.0,28.5,5.5,1.0,0.0,0.0,0.0,0.0
2700,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,168.0,0.0,0.0,0.0,1.0,0.05,2.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
3118,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,262.5,14.0,12.0,3.0,228.0,72.0,10.0,5.0,1.0,5.0,0.003,1.0,30.0,6.0,3.0,6.0,1.0,6.0,1.0
2212,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,72.0,13.0,24.0,20.0,5.0,0.003,3.0,30.0,0.0,2.0,4.0,0.0,2.0,3.0
4187,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,72.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,6.8,1.0,0.0,0.0,0.0,0.0
1598,2.0,50.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,168.0,0.0,0.0,0.0,1.0,0.01,3.0,30.0,6.0,3.0,0.0,1.0,0.0,0.0
2617,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,837.5,10.0,22.0,1.0,158.0,96.0,10.0,5.0,10.0,1.0,0.05,2.0,30.0,0.0,1.0,3.0,1.0,0.0,3.0
3111,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,262.5,14.0,12.0,3.0,228.0,72.0,10.0,5.0,1.0,5.0,0.003,3.0,30.0,6.0,3.0,0.0,0.0,2.0,2.0
745,2.0,150.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,165.0,0.0,0.0,0.0,4.0,0.5,1.0,28.0,5.0,2.0,0.0,0.0,0.0,0.0
93,2.0,40.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,96.0,12.0,23.4,46.9,1.0,0.05,3.0,28.0,6.0,1.0,0.0,1.0,0.0,0.0
1273,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,387.2,30.0,50.0,2.0,442.0,168.0,13.0,18.0,15.0,1.0,0.05,3.0,28.0,0.0,2.0,3.0,0.0,1.0,3.0
4246,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-366.5,4.0,10.0,4.0,122.0,72.0,2.0,0.0,-1.0,1.0,0.05,1.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0
3359,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,201.0,0.0,0.0,0.0,4.0,3.5,3.0,30.0,0.0,3.0,3.0,0.0,0.0,4.0
715,2.0,150.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,165.0,0.0,0.0,0.0,4.0,0.5,1.0,28.0,5.0,2.0,0.0,1.0,0.0,0.0
533,2.0,50.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,1.0,0.05,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
1495,2.0,30.6,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,48.0,12.0,23.4,46.9,2.0,0.2,1.0,28.0,6.8,1.0,4.0,3.0,1.0,1.0
3092,42.0,1.3,1327.85,22.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,1.0,0.2,1.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0
2432,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3154.9,40.0,56.0,1.0,552.0,72.0,14.0,24.0,22.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
1944,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,-160.2,15.0,12.0,5.0,272.0,144.0,10.0,5.0,1.0,1.0,0.025,2.0,30.0,4.5,2.0,3.0,0.0,0.0,4.0
3528,6.0,20.0,1367.6,29.69,46.0,2.5e-06,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,30.0,3.5,2.0,0.0,0.0,0.0,0.0
2061,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,2815.2,15.0,24.0,0.0,204.0,120.0,10.0,18.0,12.0,1.0,0.03,3.0,30.0,0.0,2.0,1.0,0.0,2.0,1.0
1456,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,120.0,12.0,23.4,46.9,1.0,0.05,1.0,30.0,0.0,1.0,2.0,0.0,2.0,1.0
815,2.0,30.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,96.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,4.0,1.0,0.0,1.0,0.0,0.0
777,2.0,22.3,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,96.0,0.0,0.0,0.0,1.0,0.05,3.0,28.0,6.0,2.0,0.0,1.0,0.0,0.0
3129,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,7.0,-252.9,5.0,12.0,5.0,152.0,120.0,3.0,6.0,1.0,1.0,0.05,2.0,30.0,7.2,3.0,0.0,0.0,0.0,0.0
2154,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
1180,1.0,150.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,116.0,12.0,23.4,46.9,2.0,1.0,3.0,30.0,3.5,1.0,0.0,0.0,0.0,0.0
3985,10.0,120.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,192.0,0.0,0.0,0.0,4.0,5.0,1.0,30.0,4.0,3.0,0.0,0.0,0.0,0.0
2676,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-366.5,4.0,10.0,4.0,122.0,168.0,2.0,0.0,-1.0,1.0,0.05,2.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
4678,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,120.0,16.0,24.0,28.0,1.0,0.01,3.0,30.0,0.0,3.0,0.0,2.0,12.0,1.0
4150,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,24.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,4.5,2.0,0.0,0.0,0.0,0.0
845,2.0,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-238.4,2.0,4.0,2.0,60.0,48.0,2.0,0.0,-1.0,1.0,0.05,3.0,28.0,0.0,2.0,0.0,1.0,0.0,0.0
4625,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,0.0,15.0,9.0,6.0,285.0,96.0,0.0,0.0,0.0,1.0,0.03,1.0,30.0,5.0,3.0,0.0,0.0,0.0,0.0
4359,4.0,12.0,874.0,14.55,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,2.0,0.3,1.0,30.0,5.6,2.0,0.0,0.0,0.0,0.0
2911,1.0,160.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,9.3,5.0,12.0,0.0,72.0,192.0,9.0,8.0,16.0,1.0,0.1,1.0,30.0,0.0,1.0,1.0,1.0,0.0,1.0
2344,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
4095,2.0,200.0,1660.45,18.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,192.0,0.0,0.0,0.0,2.0,5.0,1.0,28.0,5.0,2.0,0.0,0.0,0.0,0.0
486,7.0,20.0,2342.2,16.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.8,1.0,11.0,7.0,3.0,2.0
3858,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,29.5,5.25,1.0,0.0,0.0,0.0,0.0
2618,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,837.5,10.0,22.0,1.0,158.0,96.0,10.0,5.0,10.0,1.0,0.05,2.0,30.0,0.0,1.0,3.0,1.0,0.0,3.0
88,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,170.0,12.0,23.4,46.9,1.0,0.05,3.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
4419,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-22.6,9.0,7.0,3.0,163.0,120.0,10.0,9.0,18.0,1.0,0.03,1.0,30.0,0.0,3.0,0.0,7.0,10.0,0.0
2256,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,72.0,13.0,24.0,20.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
4453,10.0,10.0,34734.5,40.0,1.0,21.0,2805.0,15.58,2.0,-203.2,17.6,33.8,2.0,869.7,115.0,12.0,23.4,46.9,1.0,0.05,1.0,28.0,6.5,1.0,0.0,0.0,0.0,0.0
2216,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,72.0,13.0,24.0,20.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,4.0,6.0
382,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.01,1.0,28.0,0.0,2.0,0.0,0.0,1.0,1.0
3599,2.0,50.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,150.0,12.0,23.4,46.9,1.0,0.05,2.0,28.0,6.0,2.0,0.0,0.0,0.0,0.0
136,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,72.0,13.0,24.0,20.0,5.0,0.003,3.0,30.0,0.0,2.0,4.0,0.0,2.0,3.0
4477,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
1816,1.0,210.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,-160.2,15.0,12.0,5.0,272.0,384.0,10.0,5.0,1.0,4.0,3.0,2.0,28.0,6.5,1.0,4.0,0.0,3.0,3.0
198,7.0,70.0,2342.2,16.0,0.0,0.0,0.0,0.0,4.0,-444.9,30.0,52.0,3.0,460.0,96.0,13.0,18.0,15.0,1.0,0.05,3.0,30.0,0.0,2.0,13.0,1.0,8.0,5.0
2929,2.0,150.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,84.0,12.0,23.4,46.9,2.0,1.5,1.0,28.0,5.5,1.0,2.0,0.0,3.0,0.0
2150,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
232,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,120.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.8,1.0,0.0,0.0,1.0,0.0
3253,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,4.0,1.0,3.0,30.0,6.8,3.0,9.0,3.0,0.0,7.0
1202,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,-245.8,30.0,48.0,3.0,456.0,120.0,13.0,18.0,17.0,1.0,0.03,3.0,30.0,0.0,2.0,4.0,0.0,3.0,3.0
2939,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-218.252100840336,17.5798319327731,33.03081232493,2.0,275.988795518207,144.0,7.0,7.78991596638655,15.5798319327731,1.0,0.05,1.0,30.0,6.8,3.0,6.0,6.0,0.0,1.0
1520,2.5,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,188.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,3.5,3.0,0.0,0.0,0.0,0.0
770,2.0,70.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,240.0,0.0,0.0,0.0,1.0,0.15,1.0,28.0,3.8,2.0,0.0,0.0,1.0,0.0
766,2.0,523.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,117.0,0.0,0.0,0.0,4.0,0.6,1.0,28.0,3.8,2.0,0.0,0.0,0.0,0.0
3803,2.5,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,78.0,12.0,23.4,46.9,2.0,10.0,1.0,28.0,4.5,1.0,0.0,0.0,0.0,0.0
97,2.0,60.0,2805.0,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.5,12.0,23.4,46.9,1.0,0.05,3.0,28.0,6.0,1.0,0.0,1.0,0.0,0.0
665,2.0,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,120.0,0.0,0.0,0.0,1.0,0.05,3.0,28.0,0.0,2.0,0.0,1.0,0.0,0.0
3085,42.0,1.78,1327.85,22.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,48.0,12.0,23.4,46.9,1.0,0.2,1.0,27.0,6.0,2.0,0.0,0.0,0.0,0.0
1358,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,101.5,14.9826086956522,29.7008695652174,1.0,225.492173913043,66.0,12.0,7.99130434782609,12.9826086956522,1.0,0.01,2.0,30.0,0.0,2.0,1.0,1.0,1.0,0.0
4392,20.0,1.0,105803.0,6.3,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,28.0,0.0,0.0,0.0,5.0,0.002,2.0,28.0,6.8,3.0,5.0,1.0,0.0,5.0
3481,2.0,300.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,82.0,0.0,0.0,0.0,4.0,2.0,1.0,28.0,5.5,1.0,1.0,1.0,1.0,0.0
4255,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,72.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,3.0,1.0,1.0,2.0,0.0,0.0
2394,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
261,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,120.0,12.0,23.4,46.9,1.0,0.05,1.0,28.0,6.8,2.0,9.0,7.0,3.0,1.0
1188,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,-245.8,30.0,48.0,3.0,456.0,72.0,13.0,18.0,17.0,1.0,0.03,3.0,30.0,0.0,2.0,2.0,0.0,1.0,3.0
574,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,96.0,13.0,24.0,20.0,1.0,0.02,3.0,28.0,0.0,2.0,3.0,0.0,4.0,2.0
1660,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,192.0,0.0,0.0,0.0,1.0,0.05,2.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
2465,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3154.9,40.0,56.0,1.0,552.0,72.0,14.0,24.0,22.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
4157,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,72.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,6.8,1.0,0.0,0.0,0.0,0.0
1195,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,-245.8,30.0,48.0,3.0,456.0,72.0,13.0,18.0,17.0,1.0,0.03,3.0,30.0,0.0,2.0,4.0,0.0,2.0,3.0
1481,2.0,30.6,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,110.0,12.0,23.4,46.9,5.0,0.0008,1.0,28.0,6.8,1.0,0.0,0.0,1.0,1.0
2345,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
50,1.0,10.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,96.0,13.0,24.0,20.0,1.0,0.05,3.0,28.0,0.0,2.0,2.0,0.0,1.0,2.0
2447,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3154.9,40.0,56.0,1.0,552.0,72.0,14.0,24.0,22.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
1633,4.0,30.0,874.0,14.55,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,168.0,2.0,2.0,0.0,1.0,0.03,3.0,30.0,0.0,1.0,4.0,0.0,3.0,3.0
1499,9.0,187.0,5643.4,16.5,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,110.0,12.0,23.4,46.9,5.0,0.0008,3.0,28.0,6.8,1.0,0.0,0.0,1.0,1.0
2723,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,168.0,0.0,0.0,0.0,2.0,3.0,2.0,28.0,6.0,2.0,0.0,1.0,0.0,0.0
126,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,72.0,13.0,24.0,20.0,5.0,0.003,3.0,30.0,0.0,2.0,1.0,0.0,0.0,2.0
2343,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
1608,2.0,126.1,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,168.0,0.0,0.0,0.0,1.0,0.3,3.0,30.0,6.0,2.0,0.0,1.0,0.0,0.0
3244,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,1239.2,15.0,24.0,0.0,204.0,96.0,10.0,9.0,6.0,2.0,2.4,3.0,28.0,0.0,3.0,14.0,5.0,8.0,2.0
84,2.0,60.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,168.0,0.0,0.0,0.0,1.0,0.05,3.0,28.0,6.0,2.0,0.0,0.0,0.0,0.0
3446,1.0,50.0,2805.0,15.58,8.0,50.0,2810.4,16.0,7.0,-333.1,6.0,14.0,6.0,182.0,132.0,2.0,0.0,1.0,2.0,2.0,1.0,28.0,0.0,1.0,3.0,0.0,0.0,4.0
